,last_weight,average_weight,last_weight^2,last_weight fasting,last_weight morning_temperature,last_weight evening_temperature,last_weight morning_do,last_weight evening_do,last_weight morning_salinity,last_weight morning_pH,last_weight transparency,last_weight long_cycle,average_weight fasting,average_weight morning_temperature,average_weight evening_temperature,average_weight morning_do,average_weight evening_do,average_weight morning_salinity,average_weight morning_pH,average_weight transparency,average_weight long_cycle,average_adg
35,18.9,10.746,357.2099999999999,18.9,529.1999999999999,567.0,93.93299999999999,106.59599999999999,434.7,149.31,718.1999999999999,1682.1,10.746,300.88800000000003,322.38,53.40762,60.60744,247.15800000000002,84.89340000000001,408.348,956.394,0.373
36,24.3,17.597,590.49,24.3,680.4,729.0,120.771,137.052,558.9,191.97000000000003,923.4,1968.3,17.597,492.716,527.9100000000001,87.45709000000001,99.24708,404.73100000000005,139.01630000000003,668.686,1425.3570000000002,0.463
37,13.22,8.22,174.7684,13.22,370.16,396.6,65.7034,74.5608,304.06,104.43800000000002,502.36,1070.8200000000002,8.22,230.16000000000003,246.60000000000002,40.8534,46.3608,189.06,64.938,312.36,665.82,0.19
38,33.33,17.937,1110.8889,0.0,933.24,999.9,165.65009999999998,187.98119999999997,766.5899999999999,263.307,1266.54,4032.93,0.0,502.23600000000005,538.11,89.14689,101.16468,412.55100000000004,141.7023,681.606,2170.377,0.334
39,31.86,17.615,1015.0595999999999,0.0,892.0799999999999,955.8,158.3442,179.69039999999998,732.78,251.69400000000005,1210.68,3855.06,0.0,493.21999999999997,528.4499999999999,87.54654999999998,99.34859999999999,405.145,139.1585,669.3699999999999,2131.415,0.343
40,35.06,17.758,1229.2036,35.06,981.6800000000001,1051.8000000000002,174.2482,197.7384,806.3800000000001,276.97400000000005,1332.2800000000002,4452.62,17.758,497.224,532.74,88.25725999999999,100.15511999999998,408.43399999999997,140.2882,674.804,2255.266,0.359
41,35.27,19.068,1243.9729000000002,35.27,987.5600000000001,1058.1000000000001,175.2919,198.9228,811.21,278.63300000000004,1340.2600000000002,4479.29,19.068,533.904,572.0400000000001,94.76796,107.54352,438.564,150.6372,724.5840000000001,2421.636,0.365
42,26.7,14.914,712.89,26.7,747.6,801.0,132.69899999999998,150.588,614.1,210.93,1014.6,2883.6,14.914,417.592,447.42,74.12258,84.11496,343.022,117.8206,566.732,1610.712,0.313
43,26.0,14.937,676.0,26.0,728.0,780.0,129.22,146.64,598.0,205.4,988.0,2808.0,14.937,418.236,448.10999999999996,74.23688999999999,84.24467999999999,343.551,118.0023,567.606,1613.196,0.304
44,9.0,17.555,81.0,9.0,252.0,270.0,44.73,50.76,207.0,71.10000000000001,342.0,999.0,17.555,491.53999999999996,526.65,87.24834999999999,99.0102,403.765,138.6845,667.09,1948.605,0.386
45,19.2,11.762,368.64,19.2,537.6,576.0,95.42399999999999,108.288,441.59999999999997,151.67999999999998,729.6,1824.0,11.762,329.336,352.86,58.45714,66.33767999999999,270.526,92.91979999999998,446.956,1117.39,0.313
46,5.09,4.545,25.908099999999997,5.09,142.51999999999998,152.7,25.297299999999996,28.7076,117.07,40.211,193.42,249.41,4.545,127.25999999999999,136.35,22.588649999999998,25.633799999999997,104.535,35.9055,172.71,222.70499999999998,0.109
47,5.7,4.74,32.49,5.7,159.6,171.0,28.329,32.147999999999996,131.1,45.03000000000001,216.6,313.5,4.74,132.72,142.20000000000002,23.5578,26.7336,109.02000000000001,37.446000000000005,180.12,260.7,0.236
48,5.3,5.5,28.09,5.3,148.4,159.0,26.340999999999998,29.891999999999996,121.89999999999999,41.87,201.4,349.8,5.5,154.0,165.0,27.334999999999997,31.02,126.5,43.45,209.0,363.0,0.07
49,3.3,3.3,10.889999999999999,3.3,92.39999999999999,99.0,16.401,18.612,75.89999999999999,26.07,125.39999999999999,158.39999999999998,3.3,92.39999999999999,99.0,16.401,18.612,75.89999999999999,26.07,125.39999999999999,158.39999999999998,0.083
50,16.0,12.75,256.0,16.0,448.0,480.0,79.52,90.24,368.0,126.4,608.0,1504.0,12.75,357.0,382.5,63.3675,71.91,293.25,100.72500000000001,484.5,1198.5,0.201
51,16.0,12.75,256.0,16.0,448.0,480.0,79.52,90.24,368.0,126.4,608.0,1504.0,12.75,357.0,382.5,63.3675,71.91,293.25,100.72500000000001,484.5,1198.5,0.201
52,16.0,12.75,256.0,16.0,448.0,480.0,79.52,90.24,368.0,126.40000000000002,608.0,1344.0,12.75,357.0,382.5,63.3675,71.91,293.25,100.72500000000002,484.5,1071.0,0.201
53,16.0,12.75,256.0,16.0,448.0,480.0,79.52,90.24,368.0,126.4,608.0,1344.0,12.75,357.0,382.5,63.3675,71.91,293.25,100.72500000000001,484.5,1071.0,0.201
54,16.0,12.75,256.0,16.0,448.0,480.0,79.52,90.24,368.0,126.4,608.0,1344.0,12.75,357.0,382.5,63.3675,71.91,293.25,100.72500000000001,484.5,1071.0,0.201
55,16.0,12.75,256.0,16.0,448.0,480.0,79.52,90.24,368.0,126.4,608.0,1344.0,12.75,357.0,382.5,63.3675,71.91,293.25,100.72500000000001,484.5,1071.0,0.201
56,10.63,8.433,112.99690000000001,10.63,297.64000000000004,318.90000000000003,52.8311,59.9532,244.49,83.977,403.94000000000005,1264.97,8.433,236.124,252.99,41.912009999999995,47.56211999999999,193.959,66.6207,320.454,1003.5269999999999,0.126
